Zone,Disp_quanti_kg/per/an,Disp_alim_Kcal/per/jour,Disp_prot_g/per/jour,TAS (%),TDI (%),Croissance démographique (%),Croissance_Pib_(%)
Bénin,14.4,37.0,4.98,11.180124223602485,76.3975155279503,14.861876800562927,7.449328
Cabo Verde,17.62,62.0,6.52,10.0,120.0,6.385741288707242,6.420607
Cambodge,2.34,11.0,0.74,73.68421052631578,26.31578947368421,8.314731063064775,10.793179
Cameroun,3.16,11.0,1.07,98.78048780487805,0.0,14.339166866222042,6.755152
Canada,39.02,154.0,13.86,98.8834612700628,12.70062805303559,5.1831608872680155,7.935525
Chili,36.36,153.0,12.21,105.95238095238095,23.065476190476193,6.149831379799477,10.619121
Chine - RAS de Hong-Kong,53.51,210.0,22.26,8.571428571428571,323.92857142857144,3.682128520439212,6.361267
Chine - RAS de Macao,34.47,142.0,11.9,15.789473684210526,121.05263157894737,10.379778703245707,11.914871
"Chine, continentale",12.33,59.0,3.96,100.41297285391772,2.4888497329442214,2.659674884713952,9.589146
Chypre,25.08,91.0,9.58,65.78947368421053,36.84210526315789,3.9321754360616272,9.102202
Colombie,31.99,111.0,9.57,95.19172245891662,4.747413268411442,6.151007782450615,10.274451
Congo,21.53,72.0,7.45,6.363636363636363,94.54545454545455,13.31417970692646,8.566912
Costa Rica,26.52,92.0,7.93,99.25373134328358,12.686567164179104,5.58775597269624,2.83621
Croatie,10.77,37.0,4.06,135.55555555555557,53.333333333333336,-2.630917358453842,7.493395
Cuba,23.72,82.0,7.12,8.47953216374269,91.22807017543859,0.7297614022221119,5.998687
Côte d'Ivoire,2.53,8.0,0.86,89.23076923076924,10.76923076923077,13.413731759336777,7.555465
Danemark,28.98,112.0,12.97,103.59281437125749,79.64071856287424,2.163127753233305,6.06968
Dominique,35.19,150.0,11.52,0.0,100.0,0.6947086591981892,-9.636719
El Salvador,20.43,71.0,6.25,103.81679389312977,12.213740458015266,2.407900834941381,3.25636
Espagne,30.39,105.0,12.47,101.20240480961924,13.694054776219106,-0.8831384954569418,6.532538
Estonie,21.26,86.0,7.27,68.96551724137932,72.41379310344827,-0.28484860851946026,11.921513
Eswatini,6.46,22.0,2.23,85.71428571428571,28.57142857142857,4.217317342544349,15.3435
Fidji,28.02,97.0,9.44,88.46153846153845,11.538461538461538,1.432255692898484,8.584707
Finlande,18.76,68.0,7.87,116.21621621621621,14.414414414414415,1.7840277611052668,6.250864
France,22.9,92.0,8.95,111.25238397965671,32.16783216783217,2.011018116622558,5.012186
Fédération de Russie,30.98,104.0,10.44,97.54170324846356,4.960491659350307,1.0668438630716381,23.293875
Gabon,29.33,99.0,10.59,5.128205128205128,97.43589743589743,18.01133005883354,6.459129
Gambie,3.53,12.0,1.24,25.0,200.0,16.213852608879844,2.569455
Ghana,7.24,16.0,2.26,28.436018957345972,71.56398104265402,12.02092978079699,7.545343
Grenade,45.7,192.0,15.5,12.5,87.5,3.190439848854306,6.032658
Grèce,15.32,53.0,6.32,138.20224719101125,44.38202247191011,-1.96338508272559,3.537188
Guatemala,20.58,71.0,6.11,65.82633053221288,36.134453781512605,10.766967823694038,8.478524
Guinée,4.08,14.0,1.42,26.0,74.0,13.288432975833429,20.000796
Guinée-Bissau,2.16,7.0,0.74,75.0,100.0,13.904605605431595,14.518423
Guyana,38.34,165.0,12.33,96.875,0.0,2.62417609766494,5.92226
Géorgie,15.27,51.0,5.19,36.0655737704918,83.60655737704919,-1.3629073651130241,7.271943
Haïti,8.91,31.0,2.75,9.183673469387756,90.81632653061224,7.1353135764267215,14.280015
Honduras,21.73,93.0,6.98,94.14634146341463,5.853658536585367,9.123367564006166,6.532207
Hongrie,25.27,104.0,9.8,185.33834586466165,21.804511278195488,-1.363849527764502,11.276256
Inde,2.22,7.0,0.75,96.83146681234635,0.0,5.759020033119536,14.569955
Indonésie,7.19,25.0,2.42,99.05294877313818,0.04304778303917348,6.520075960672947,8.986309
Iran (République islamique d'),27.52,96.0,9.8,97.92792792792793,0.2702702702702703,6.796416854154841,8.073001
Iraq,14.95,52.0,5.37,16.96113074204947,83.03886925795054,17.75719048826921,12.373863
Irlande,25.82,100.0,11.6,85.9375,77.34375,3.1483239218453742,12.542957
Islande,29.95,104.0,12.33,100.0,20.0,2.6841536363971312,18.925049
Israël,67.39,234.0,27.87,98.89937106918238,0.0,8.258699463896814,11.363641
Italie,18.88,65.0,7.83,112.10571184995737,8.269394714407502,1.3263811231732545,4.584649
Jamaïque,51.1,178.0,15.71,84.21052631578947,20.394736842105264,2.769610982178164,5.199101
Japon,18.5,67.0,7.24,91.7184265010352,44.26501035196687,-0.7170381518202686,-1.455734
Jordanie,28.07,98.0,10.1,76.36363636363637,23.272727272727273,20.962780789328804,3.799956
Kazakhstan,18.27,61.0,6.18,51.66163141993958,52.567975830815705,7.930585424312107,21.5092
Kenya,0.67,2.0,0.23,100.0,0.0,13.254883746460338,9.69009
Kirghizistan,3.1,11.0,1.08,21.875,78.125,10.106720962235503,13.060774
Kiribati,17.98,63.0,6.65,50.0,50.0,7.321613236814888,5.426179
Koweït,46.25,156.0,15.87,29.629629629629626,72.4867724867725,21.11905180669322,10.311545
Lesotho,7.93,27.0,2.72,11.76470588235294,88.23529411764706,3.7985224769900157,9.013723
Lettonie,20.89,72.0,7.22,80.48780487804879,104.8780487804878,-5.699279270919128,8.620392
Liban,10.74,38.0,3.9,87.67123287671232,17.80821917808219,23.146457353819653,3.676385
Libéria,10.67,36.0,3.74,30.0,96.0,13.699557918097213,0.217628
Lituanie,28.19,96.0,9.74,143.90243902439025,53.65853658536586,-6.571761327387628,11.020131
Luxembourg,18.33,69.0,7.19,0.0,100.0,11.500837325306062,5.689666
Macédoine du Nord,19.73,68.0,7.01,4.878048780487805,97.5609756097561,0.37208127358050863,5.946111
Madagascar,2.87,14.0,0.97,98.78048780487805,0.0,14.426626457797125,11.205528
Malaisie,39.21,142.0,12.95,106.35410240592226,4.194941394201111,7.005792483322584,5.926432
Malawi,5.17,17.0,1.74,132.6530612244898,0.0,14.771231386823153,25.54437
Mali,2.83,9.0,0.96,92.3076923076923,1.9230769230769231,15.851150749685731,9.551263
Malte,27.17,103.0,12.68,28.57142857142857,64.28571428571429,3.8225832070913532,15.647409
Maroc,20.96,70.0,7.29,102.14477211796248,0.40214477211796246,7.037368501800426,6.244908
Maurice,37.93,128.0,13.06,97.95918367346938,4.081632653061225,0.8784288321866637,8.887858
Mauritanie,5.14,11.0,1.59,22.727272727272727,109.09090909090908,15.540441191348837,6.272922
Mexique,32.52,123.0,9.26,77.00876985067552,23.038634747570512,6.397973193667432,7.456604
Mongolie,2.77,9.0,0.95,0.0,111.11111111111111,10.234297613408591,2.67854
Monténégro,15.98,55.0,5.79,40.0,80.0,0.2616926948116841,11.035055
Mozambique,3.59,13.0,1.2,79.3103448275862,20.689655172413794,15.229076015345738,10.740447
